subcategoria,campo_unificado,var,var_alias,description,5,6,is_category,values
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_8,tio8_sobr,tiene_sobrepeso_u_obes_tio_8,¿Tiene sobrepeso u obesidad? (Tío 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_9,tio9_sobr,tiene_sobrepeso_u_obes_tio_9,¿Tiene sobrepeso u obesidad? (Tío 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_10,tio10_sobr,tiene_sobrepeso_u_obes_tio_10,¿Tiene sobrepeso u obesidad? (Tío 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_11,tio11_sobr,tiene_sobrepeso_u_obes_tio_11,¿Tiene sobrepeso u obesidad? (Tío 11),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_12,tio12_sobr,tiene_sobrepeso_u_obes_tio_12,¿Tiene sobrepeso u obesidad? (Tío 12),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_13,tio13_sobr,tiene_sobrepeso_u_obes_tio_13,¿Tiene sobrepeso u obesidad? (Tío 13),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_14,tio14_sobr,tiene_sobrepeso_u_obes_tio_14,¿Tiene sobrepeso u obesidad? (Tío 14),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_15,tio15_sobr,tiene_sobrepeso_u_obes_tio_15,¿Tiene sobrepeso u obesidad? (Tío 15),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_16,tio16_sobr,tiene_sobrepeso_u_obes_tio_16,¿Tiene sobrepeso u obesidad? (Tío 16),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_17,tio17_sobr,tiene_sobrepeso_u_obes_tio_17,¿Tiene sobrepeso u obesidad? (Tío 17),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_18,tio18_sobr,tiene_sobrepeso_u_obes_tio_18,¿Tiene sobrepeso u obesidad? (Tío 18),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_19,tio19_sobr,tiene_sobrepeso_u_obes_tio_19,¿Tiene sobrepeso u obesidad? (Tío 19),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_tio_20,tio20_sobr,tiene_sobrepeso_u_obes_tio_20,¿Tiene sobrepeso u obesidad? (Tío 20),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_1,tio1_diab,tiene_diab_tio_1,¿Tiene diabetes? (Tío 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_2,tio2_diab,tiene_diab_tio_2,¿Tiene diabetes? (Tío 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_3,tio3_diab,tiene_diab_tio_3,¿Tiene diabetes? (Tío 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_4,tio4_diab,tiene_diab_tio_4,¿Tiene diabetes? (Tío 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_5,tio5_diab,tiene_diab_tio_5,¿Tiene diabetes? (Tío 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_6,tio6_diab,tiene_diab_tio_6,¿Tiene diabetes? (Tío 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_7,tio7_diab,tiene_diab_tio_7,¿Tiene diabetes? (Tío 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_8,tio8_diab,tiene_diab_tio_8,¿Tiene diabetes? (Tío 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_9,tio9_diab,tiene_diab_tio_9,¿Tiene diabetes? (Tío 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_10,tio10_diab,tiene_diab_tio_10,¿Tiene diabetes? (Tío 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_11,tio11_diab,tiene_diab_tio_11,¿Tiene diabetes? (Tío 11),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_12,tio12_diab,tiene_diab_tio_12,¿Tiene diabetes? (Tío 12),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_13,tio13_diab,tiene_diab_tio_13,¿Tiene diabetes? (Tío 13),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_14,tio14_diab,tiene_diab_tio_14,¿Tiene diabetes? (Tío 14),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_15,tio15_diab,tiene_diab_tio_15,¿Tiene diabetes? (Tío 15),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_16,tio16_diab,tiene_diab_tio_16,¿Tiene diabetes? (Tío 16),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_17,tio17_diab,tiene_diab_tio_17,¿Tiene diabetes? (Tío 17),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_18,tio18_diab,tiene_diab_tio_18,¿Tiene diabetes? (Tío 18),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_19,tio19_diab,tiene_diab_tio_19,¿Tiene diabetes? (Tío 19),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_tio_20,tio20_diab,tiene_diab_tio_20,¿Tiene diabetes? (Tío 20),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_1,tio1_vivo,esta_vivo_tio_1,¿Está vivo? (Tío 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_2,tio2_vivo,esta_vivo_tio_2,¿Está vivo? (Tío 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_3,tio3_vivo,esta_vivo_tio_3,¿Está vivo? (Tío 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_4,tio4_vivo,esta_vivo_tio_4,¿Está vivo? (Tío 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_5,tio5_vivo,esta_vivo_tio_5,¿Está vivo? (Tío 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_6,tio6_vivo,esta_vivo_tio_6,¿Está vivo? (Tío 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_7,tio7_vivo,esta_vivo_tio_7,¿Está vivo? (Tío 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_8,tio8_vivo,esta_vivo_tio_8,¿Está vivo? (Tío 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_9,tio9_vivo,esta_vivo_tio_9,¿Está vivo? (Tío 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_10,tio10_vivo,esta_vivo_tio_10,¿Está vivo? (Tío 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_11,tio11_vivo,esta_vivo_tio_11,¿Está vivo? (Tío 11),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_12,tio12_vivo,esta_vivo_tio_12,¿Está vivo? (Tío 12),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_13,tio13_vivo,esta_vivo_tio_13,¿Está vivo? (Tío 13),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_14,tio14_vivo,esta_vivo_tio_14,¿Está vivo? (Tío 14),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_15,tio15_vivo,esta_vivo_tio_15,¿Está vivo? (Tío 15),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_16,tio16_vivo,esta_vivo_tio_16,¿Está vivo? (Tío 16),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_17,tio17_vivo,esta_vivo_tio_17,¿Está vivo? (Tío 17),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_18,tio18_vivo,esta_vivo_tio_18,¿Está vivo? (Tío 18),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_19,tio19_vivo,esta_vivo_tio_19,¿Está vivo? (Tío 19),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,esta_vivo_tio_20,tio20_vivo,esta_vivo_tio_20,¿Está vivo? (Tío 20),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,hijos_tienes,num_hij,cantidad_hijos,¿Cuántos hijos (as) tienes?,visible,abierta,FALSE,"{'min': 0.0, 'max': 9.0}"
Antecedentes Familiares,edad_hijo_1,hij1_edad,edad_hijo_1,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 1),visible,abierta,FALSE,"{'min': 1.0, 'max': 68.0}"
Antecedentes Familiares,edad_hijo_2,hij2_edad,edad_hijo_2,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 2),visible,abierta,FALSE,"{'min': 1.0, 'max': 51.0}"
Antecedentes Familiares,edad_hijo_3,hij3_edad,edad_hijo_3,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 3),visible,abierta,FALSE,"{'min': 1.0, 'max': 54.0}"
Antecedentes Familiares,edad_hijo_4,hij4_edad,edad_hijo_4,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 4),visible,abierta,FALSE,"{'min': 2.0, 'max': 55.0}"
Antecedentes Familiares,edad_hijo_5,hij5_edad,edad_hijo_5,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 5),visible,abierta,FALSE,"{'min': 1.0, 'max': 44.0}"
Antecedentes Familiares,edad_hijo_6,hij6_edad,edad_hijo_6,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 6),visible,abierta,FALSE,"{'min': 1.0, 'max': 38.0}"
Antecedentes Familiares,edad_hijo_7,hij7_edad,edad_hijo_7,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 7),visible,abierta,FALSE,"{'min': 27.0, 'max': 31.0}"
Antecedentes Familiares,edad_hijo_8,hij8_edad,edad_hijo_8,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 8),visible,abierta,FALSE,"{'min': 24.0, 'max': 26.0}"
Antecedentes Familiares,edad_hijo_9,hij9_edad,edad_hijo_9,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 9),visible,abierta,FALSE,"{'min': 22.0, 'max': 22.0}"
Antecedentes Familiares,edad_hijo_10,hij10_edad,edad_hijo_10,¿Cuál es su edad? ¿A qué edad falleció? (Hijo 10),visible,abierta,FALSE,"{'min': 0, 'max': 0}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_1,hij1_sobr,tiene_sobrepeso_u_obes_hijo_1,¿Tiene sobrepeso u obesidad? (Hijo 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_2,hij2_sobr,tiene_sobrepeso_u_obes_hijo_2,¿Tiene sobrepeso u obesidad? (Hijo 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_3,hij3_sobr,tiene_sobrepeso_u_obes_hijo_3,¿Tiene sobrepeso u obesidad? (Hijo 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_4,hij4_sobr,tiene_sobrepeso_u_obes_hijo_4,¿Tiene sobrepeso u obesidad? (Hijo 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_5,hij5_sobr,tiene_sobrepeso_u_obes_hijo_5,¿Tiene sobrepeso u obesidad? (Hijo 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_6,hij6_sobr,tiene_sobrepeso_u_obes_hijo_6,¿Tiene sobrepeso u obesidad? (Hijo 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_7,hij7_sobr,tiene_sobrepeso_u_obes_hijo_7,¿Tiene sobrepeso u obesidad? (Hijo 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_8,hij8_sobr,tiene_sobrepeso_u_obes_hijo_8,¿Tiene sobrepeso u obesidad? (Hijo 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_9,hij9_sobr,tiene_sobrepeso_u_obes_hijo_9,¿Tiene sobrepeso u obesidad? (Hijo 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_hijo_10,hij10_sobr,tiene_sobrepeso_u_obes_hijo_10,¿Tiene sobrepeso u obesidad? (Hijo 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_1,hij1_diab,tiene_diab_hijo_1,¿Tiene diabetes? (Hijo 1),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_2,hij2_diab,tiene_diab_hijo_2,¿Tiene diabetes? (Hijo 2),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_3,hij3_diab,tiene_diab_hijo_3,¿Tiene diabetes? (Hijo 3),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_4,hij4_diab,tiene_diab_hijo_4,¿Tiene diabetes? (Hijo 4),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_5,hij5_diab,tiene_diab_hijo_5,¿Tiene diabetes? (Hijo 5),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_6,hij6_diab,tiene_diab_hijo_6,¿Tiene diabetes? (Hijo 6),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_7,hij7_diab,tiene_diab_hijo_7,¿Tiene diabetes? (Hijo 7),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_8,hij8_diab,tiene_diab_hijo_8,¿Tiene diabetes? (Hijo 8),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_9,hij9_diab,tiene_diab_hijo_9,¿Tiene diabetes? (Hijo 9),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_hijo_10,hij10_diab,tiene_diab_hijo_10,¿Tiene diabetes? (Hijo 10),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,peso_nacer_hijo_1,hij1_peso,peso_al_nacer_hijo_1,¿Cuál fue su peso al nacer? (Hijo 1),visible,abierta,FALSE,"{'min': 1.0, 'max': 999.99}"
Antecedentes Familiares,peso_nacer_hijo_2,hij2_peso,peso_al_nacer_hijo_2,¿Cuál fue su peso al nacer? (Hijo 2),visible,abierta,FALSE,"{'min': 0.97, 'max': 999.99}"
Antecedentes Familiares,peso_nacer_hijo_3,hij3_peso,peso_al_nacer_hijo_3,¿Cuál fue su peso al nacer? (Hijo 3),visible,abierta,FALSE,"{'min': 0.97, 'max': 999.99}"
Antecedentes Familiares,peso_nacer_hijo_4,hij4_peso,peso_al_nacer_hijo_4,¿Cuál fue su peso al nacer? (Hijo 4),visible,abierta,FALSE,"{'min': 0.5, 'max': 999.99}"
Antecedentes Familiares,peso_al_nacer_hijo_5,hij5_peso,peso_al_nacer_hijo_5,¿Cuál fue su peso al nacer? (Hijo 5),visible,abierta,FALSE,"{'min': 1.7, 'max': 999.99}"
Antecedentes Familiares,peso_al_nacer_hijo_6,hij6_peso,peso_al_nacer_hijo_6,¿Cuál fue su peso al nacer? (Hijo 6),visible,abierta,FALSE,"{'min': 1.4, 'max': 999.99}"
Antecedentes Familiares,peso_al_nacer_hijo_7,hij7_peso,peso_al_nacer_hijo_7,¿Cuál fue su peso al nacer? (Hijo 7),visible,abierta,FALSE,"{'min': 2.8, 'max': 999.99}"
Antecedentes Familiares,peso_al_nacer_hijo_8,hij8_peso,peso_al_nacer_hijo_8,¿Cuál fue su peso al nacer? (Hijo 8),visible,abierta,FALSE,"{'min': 2.7, 'max': 999.99}"
Antecedentes Familiares,peso_al_nacer_hijo_9,hij9_peso,peso_al_nacer_hijo_9,¿Cuál fue su peso al nacer? (Hijo 9),visible,abierta,FALSE,"{'min': 999.99, 'max': 999.99}"
Antecedentes Familiares,peso_al_nacer_hijo_10,hij10_peso,peso_al_nacer_hijo_10,¿Cuál fue su peso al nacer? (Hijo 10),visible,abierta,FALSE,"{'min': 0, 'max': 0}"
Antecedentes Familiares,madre_viva,mad_vivo,madre_viva,¿Está viva? (Madre),visible,options,FALSE,"{'min': 0.0, 'max': 2.0}"
Antecedentes Familiares,padre_vivo,pad_vivo,padre_vivo,¿Está vivo? (Padre),visible,options,FALSE,"{'min': 0.0, 'max': 2.0}"
Antecedentes Familiares,edad_madre,mad_edad,edad_madre,¿Cuál es su edad? ¿A qué edad falleció? (Padre),visible,abierta,FALSE,"{'min': 0.0, 'max': 98.0}"
Antecedentes Familiares,edad_padre,pad_edad,edad_padre,¿Cuál es su edad? ¿A qué edad falleció? (Madre),visible,abierta,FALSE,"{'min': 0.0, 'max': 99.0}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_madre,mad_sobr,tiene_sobrepeso_u_obes_madre,¿Tiene sobrepeso u obesidad? Madre,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_sobrepeso_u_obes_padre,pad_sobr,tiene_sobrepeso_u_obes_padre,¿Tiene sobrepeso u obesidad? (Padre),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_madre,mad_diab,tiene_diab_madre,¿Tiene diabetes? Madre,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,tiene_diab_padre,pad_diab,tiene_diab_padre,¿Tiene diabetes? (Padre),visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuelo_materno_vivo,mlito_vivo,abuelo_materno_vivo,¿Está vivo? Abuelo materno,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuela_materna_viva,mlita_vivo,abuela_materna_viva,¿Está viva? Abuela materna,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuelo_paterno_vivo,plito_vivo,abuelo_paterno_vivo,¿Está vivo? Abuelo paterno,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuela_paterna_viva,plita_vivo,abuela_paterna_viva,¿Está viva? Abuela paterna,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuelo_materno_edad,mlito_edad,abuelo_materno_edad,¿Cuál es su edad? ¿A qué edad falleció? Abuelo materno,visible,abierta,FALSE,"{'min': 11.0, 'max': 111.0}"
Antecedentes Familiares,abuela_materna_edad,mlita_edad,abuela_materna_edad,¿Cuál es su edad? ¿A qué edad falleció? Abuela materna,visible,abierta,FALSE,"{'min': 11.0, 'max': 111.0}"
Antecedentes Familiares,abuelo_paterno_edad,plito_edad,abuelo_paterno_edad,¿Cuál es su edad? ¿A qué edad falleció? Abuelo paterno,visible,abierta,FALSE,"{'min': 11.0, 'max': 117.0}"
Antecedentes Familiares,abuela_paterna_edad,plita_edad,abuela_paterna_edad,¿Cuál es su edad? ¿A qué edad falleció? Abuela paterna,visible,abierta,FALSE,"{'min': 11.0, 'max': 111.0}"
Antecedentes Familiares,abuelo_materno_sobrep_obesidad,mlito_sobr,abuelo_materno_sobrep_obesidad,¿Tiene sobrepeso u obesidad? Abuelo materno,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuela_materna_sobrep_obesidad,mlita_sobr,abuela_materna_sobrep_obesidad,¿Tiene sobrepeso u obesidad? Abuela materna,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuelo_paterno_sobrep_obesidad,plito_sobr,abuelo_paterno_sobrep_obesidad,¿Tiene sobrepeso u obesidad? Abuelo paterno,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuela_paterna_sobrep_obesidad,plita_sobr,abuela_paterna_sobrep_obesidad,¿Tiene sobrepeso u obesidad? Abuela paterna,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuelo_materno_dm,mlito_diab,abuelo_materno_dm,¿Tiene diabetes? Abuelo materno,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuela_materna_dm,mlita_diab,abuela_materna_dm,¿Tiene diabetes? Abuela materna,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuelo_paterno_dm,plito_diab,abuelo_paterno_dm,¿Tiene diabetes? Abuelo paterno,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,abuela_paterna_dm,plita_diab,abuela_paterna_dm,¿Tiene diabetes? Abuela paterna,visible,options,TRUE,"{'options': {0: 'NO', 1: 'SI'}, 'is_category': 'true'}"
Antecedentes Familiares,amigos_cercanos_tienes,num_ami,amigos_cercanos_tienes,¿Cuántos amigos cercanos tienes?,visible,abierta,FALSE,"{'min': 0.0, 'max': 10.0}"
Antecedentes Familiares,edad_amigo_1,ami1_edad,edad_amigo_1,¿Cuál es su edad? (Amigo 1),visible,abierta,FALSE,"{'min': 16.0, 'max': 86.0}"
Antecedentes Familiares,edad_amigo_2,ami2_edad,edad_amigo_2,¿Cuál es su edad? (Amigo 2),visible,abierta,FALSE,"{'min': 14.0, 'max': 76.0}"
Antecedentes Familiares,edad_amigo_3,ami3_edad,edad_amigo_3,¿Cuál es su edad? (Amigo 3),visible,abierta,FALSE,"{'min': 18.0, 'max': 86.0}"
Antecedentes Familiares,edad_amigo_4,ami4_edad,edad_amigo_4,¿Cuál es su edad? (Amigo 4),visible,abierta,FALSE,"{'min': 18.0, 'max': 83.0}"
Antecedentes Familiares,edad_amigo_5,ami5_edad,edad_amigo_5,¿Cuál es su edad? (Amigo 5),visible,abierta,FALSE,"{'min': 19.0, 'max': 76.0}"
Antecedentes Familiares,edad_amigo_6,ami6_edad,edad_amigo_6,¿Cuál es su edad? (Amigo 6),visible,abierta,FALSE,"{'min': 18.0, 'max': 98.0}"
Antecedentes Familiares,edad_amigo_7,ami7_edad,edad_amigo_7,¿Cuál es su edad? (Amigo 7),visible,abierta,FALSE,"{'min': 18.0, 'max': 75.0}"
Antecedentes Familiares,edad_amigo_8,ami8_edad,edad_amigo_8,¿Cuál es su edad? (Amigo 8),visible,abierta,FALSE,"{'min': 18.0, 'max': 84.0}"
Antecedentes Familiares,edad_amigo_9,ami9_edad,edad_amigo_9,¿Cuál es su edad? (Amigo 9),visible,abierta,FALSE,"{'min': 19.0, 'max': 78.0}"
